"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"COPYRIGHT";"DATASHEET";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY";"IR";"MANUFACTURER";"MF";"MFN";"MOUSER";"MPN";"PACKAGE";"PACKAGING";"PART-NUMBER";"POPULARITY";"QTY";"SOURCELIBRARY";"TP_SIGNAL_NAME";"VENDOR";"VR";
"2";"97.6";"RESISTOR0402_RES";"0402_RES";"R2, R3";"Resistor";"";"";"";"";"";"RMCF0402FT97R6CT-ND";"";"";"";"";"";"RMCF0402FT97R6";"";"";"";"";"";"";"";"";"";
"1";"AB1815-T3";"AB1815-T3";"QFN-16-3MM";"U11";"Ultra-low current RTC. 55nA quiescent @ 3V. 1.5-3.6V input.";"";"";"";"";"";"535-11936-1-ND";"";"Abracon";"";"";"";"AB1815-T3";"";"";"";"";"";"";"";"";"";
"1";"ABS07-32.768KHZ-7-T";"ABS07-32.768KHZ-7-T";"ABS07";"X5";"32.768kHz Crystal";"";"";"";"";"";"535-9543-1-ND";"";"ABRACON";"";"";"";"ABS07-32.768KHZ-7-T ";"";"";"";"";"";"";"";"";"";
"1";"AMCA72-2R47G-S1F-T";"AMCA72-2R47G-S1F-T";"AMCA72-2R470G-S1F-T";"A4";"WiFi/Bluetooth/ZigBee, ISM Atenna";"";"";"";"";"RF ANT 2.4GHZ CHIP SOLDER SMD";"535-14108-1-ND";"";"";"";"";"";"AMCA72-2R470G-S1F-T4";"";"";"";"";"";"";"";"";"";
"1";"BQ24040";"BQ24040";"DSQ0010A";"U2";"Simple Li Ion / Li Poly charger.";"";"";"";"";"";"296-37142-1-ND";"";"";"";"";"";"BQ24040DSQR";"";"";"";"";"";"";"";"";"";
"1";"BQ51013B";"BQ51013B";"RHL0020A";"U6";"bq51013B";"";"";"";"";"";"296-38885-1-ND";"";"";"";"";"";"BQ51013BRHLR";"";"";"";"";"";"";"";"";"";
"2";"CSD75207W15";"CSD75207W15";"DSBGA";"Q1, Q2";"low on resistance, gate charge dual p-channel nexfet";"";"";"";"";"";"296-40008-1-ND";"";"TEXAS INSTRUMENTS";"";"";"";"CSD75207W15";"";"";"";"";"";"";"";"";"";
"1";"DIODE0402";"DIODE0402";"0402_DIODE";"D4";"";"";"";"";"";"";"641-2087-1-ND";"";"";"";"";"";"CDSQR400B-HF";"";"";"";"";"";"";"";"";"";
"1";"DM3AT-SF-PEJM5";"DM3AT-SF-PEJM5";"DM3AT-SF-PEJM5";"J2";"CONN MICRO SD R/A PUSH-PUSH SMD";"";"";"";"";"CONN MICRO SD CARD PUSH-PUSH R/A";"HR1964CT-ND";"";"Hirose Electric Co Ltd";"";"";"";"DM3AT-SF-PEJM5";"";"";"";"";"";"";"";"";"";
"1";"DNP";"RESISTOR0402_RES";"0402_RES";"R39";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DW1000";"DW1000";"QFN-48-DW1000";"U1";"Description: The DecaWave DW1000 chip, used for UWB two-way ranging.";"";"";"https://www.decawave.com/sites/default/files/resources/dw1000-datasheet-v2.13.pdf";"";"IC RF TXRX 802.15.4 48-QFN";"1479-1001-1-ND";"";"Decawave Limited";"";"";"";"DW1000-I-TR13";"";"";"";"";"";"";"";"";"";
"1";"GREEN";"LED0603";"LED-0603";"D1";"LED (Generic)";"";"";"";"";"";"160-1446-1-ND";"";"";"";"";"";"LTST-C191KGKT";"";"";"";"";"";"";"";"";"";
"1";"HHM1595A1";"HHM1595A1";"EIA-0805";"T1";"Description: Symbol for HHM1595A1, a multilayer Balun from TDK.";"";"";"https://product.tdk.com/info/en/documents/data_sheet/rf_balun_hhm1595a1_en.pdf";"";"XFMR BALUN RF 3.0-8.0GHZ UWB SMD";"445-3387-1-ND";"";"TDK Corporation";"";"";"810-HHM1595A1";"HHM1595A1";"";"";"";"";"";"";"";"";"";
"1";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"JP4";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"JP1";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"JP2, JP3";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LIS3MDL";"LIS3MDL";"LGA-12";"U12";"";"";"";"";"";"";"497-13892-1-ND";"";"STM";"";"";"";"LIS3MDLTR";"";"";"";"";"";"";"";"";"";
"1";"LSM6DSOXTR";"LSM6DSOXTR";"LGA-14L_STM";"U3";"";"EMA_Cory";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"https://www.st.com/resource/en/datasheet/lsm6dsox.pdf";"";"";"497-18367-1-ND";"";"";"";"";"";"LSM6DSOXTR";"";"";"";"";"";"Updates_to_database_2020-11-03";"";"STMicroelectronics";"";
"1";"MAX8887EZK33+T";"MAX8887EZK33+T";"SOT-23-5";"U5";"IC REG LDO 3.3V 0.3A TSOT23-5";"";"";"";"";"";"MAX8887EZK33+TCT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MOLEX-PICO-SPOX-3SIDE";"MOLEX-PICO-SPOX-3SIDE";"MOLEX-PICO-SPOX-3_SIDE";"J5";"MOLEX";"";"";"";"";"";"WM7647CT-ND";"";"";"";"874380343";"";"";"";"";"";"";"";"";"";"";"";
"1";"NRF52840";"NRF52840";"AQFN73";"U7";"ultra-low power 2.4 GHz wireless system on chip (SoC) integrating a multiprotocol 2.4 GHz transceiver, an ARM® Cortex®-M4F CPU.";"";"";"";"";"";"1490-1071-1-ND";"";"NORIDIC SEMICONDUCTOR";"";"";"";"NRF52840-QIAA-R";"";"";"";"";"";"";"";"";"";
"1";"PUI_SMT-0440-T-2-R";"PUI_SMT-0440-T-2-R";"SMT-0440-T-2-R";"LS1";"";"";"";"";"";"";"668-SMT-0440-T-2-RTR-ND";"";"";"";"";"";"SMT-0440-T-2-R";"";"";"";"";"";"";"";"";"";
"1";"SIP32510";"SIP32510";"TSOT23-6";"U8";"Load switch, slew rate controlled. By Vishay";"";"";"";"";"";" SIP32510DT-T1-GE3CT-ND";"";"Vishay";"";"";"";"SIP32510DT-T1-GE3";"";"";"";"";"";"";"";"";"";
"1";"SKY13317";"SKY13317";"MLPQ-UT-8";"U9";"Description: Device for SKY13317-373LF, an RF switch from Skyworks Inc.";"";"";"http://www.skyworksinc.com/uploads/documents/SKY13317_373LF_200914K.pdf";"";"IC SWITCH RF SP3T 8-MLP";"863-1056-1-ND";"";"Skyworks Solutions Inc.";"";"";"";"SKY13317-373LF";"";"";"";"";"";"";"";"";"";
"2";"SML-LX0404SIUPGUSB";"SML-LX0404SIUPGUSB";"1MM_SQ_4PAD";"D2, D3";"1mm^2 RGB LED";"";"";"";"";"";"67-2125-1-ND";"";"Lumex Opto";"";"";"";"SML-LX0404SIUPGUSB";"";"";"";"";"";"";"";"";"";
"1";"STM32F091CC";"STM32F091CC";"UFQFPN-48";"U10";"Description: STM32F091CC from STMicroelectronics, an ARM-based 32-bit MCU with 256 kB Flash, 32kB of SRAM and a Cortex M0";"";"";"https://www.st.com/resource/en/datasheet/stm32f091cc.pdf";"";"IC MCU 32BIT 256KB FLASH 48QFPN";"497-15813-ND";"";"STMicroelectronics";"";"";"511-STM32F091CCU6";"STM32F091CCU6";"";"";"";"";"";"";"";"";"";
"3";"TAIYO-YUDEN-AH086M";"TAIYO-YUDEN-AH086M";"TAIYO-YUDEN-AH086M";"A1, A2, A3";"UWB Antenna - 3.1-8GHz";"";"";"";"";"";"587-2204-1-ND";"";"";"";"";"";"AH086M555003-T";"";"";"";"";"";"";"";"";"";
"2";"TC2030-JLINK-NL-2SIDE";"TC2030-JLINK-NL-2SIDE";"TC2030-IDC-NL-2SIDE";"J3, J4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22";"TEST-POINT";"TEST-POINT";"PAD.03X.03";"GP0, GP1, TP5, TP6, TP10, TP11, TP12, TP13, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10";"TPTP06SQ";"TPTP06SQ";"TP06SQ";"+1V8, DW_SPI_CS, MISO, MOSI, SPI_CLK, TP1, TP2, TP3, TP4, TP15";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USB4110-GF-A";"USB4110-GF-A";"GCT_USB4110-GF-A";"J1";"CONN USB 2.0 TYPE-C R/A SMT";"";"";"";"";" USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle";" Through Hole ";"2073-USB4110-GF-A-1-ND";"";"";"GCT";"";"";"USB4110-GF-A";"None";"";"";"";"";"";"";"";
"1";"WURTH_COIL_760308103204";"WURTH_COIL_760308103204";"WURTH_COIL_760308103204";"L4";"";"";"";"";"";"";"732-5258-ND";"";"Würth Elektronik";"";"";"";"760308103204";"";"";"";"";"";"";"";"";"";
